iso_country_code,country,world_region,survey_source ,survey_year,subnational_region,mpi_country,mpi_region,hr_poor,deprivation_intensity,poverty_vulnerability,hr_severe_poverty,population_country_survey_year,population_country_2020,population _country_2021,Population 2021,population _region_2021,population_mpi_poor,n_indicators,missing_indicators
ECU,Ecuador,Latin America and the Caribbean,ENSANUT,2018,Napo,0.008,0.026,6.47,39.86,13.06,0.97,"17,016","17,589","17,798",0.76,136,9,10,
ECU,Ecuador,Latin America and the Caribbean,ENSANUT,2018,Orellana,0.008,0.039,10.01,39.35,12.8,0.98,"17,016","17,589","17,798",0.92,165,16,10,
ECU,Ecuador,Latin America and the Caribbean,ENSANUT,2018,Pastaza,0.008,0.038,9.06,41.45,12.58,1.41,"17,016","17,589","17,798",0.65,116,11,10,
ECU,Ecuador,Latin America and the Caribbean,ENSANUT,2018,Pichincha,0.008,0.003,0.85,33.89,2.02,0,"17,016","17,589","17,798",17.91,"3,187",27,10,
ECU,Ecuador,Latin America and the Caribbean,ENSANUT,2018,Santa Elena,0.008,0.008,2.31,36.74,7.88,0,"17,016","17,589","17,798",2.33,415,10,10,
ECU,Ecuador,Latin America and the Caribbean,ENSANUT,2018,Santo Domingo,0.008,0.005,1.41,38.05,4.67,0.16,"17,016","17,589","17,798",2.6,463,7,10,
ECU,Ecuador,Latin America and the Caribbean,ENSANUT,2018,Sucumbios,0.008,0.013,3.3,39.41,8.71,0.3,"17,016","17,589","17,798",1.31,233,8,10,
ECU,Ecuador,Latin America and the Caribbean,ENSANUT,2018,Tungurahua,0.008,0.006,1.74,35.81,4.95,0,"17,016","17,589","17,798",3.25,579,10,10,
ECU,Ecuador,Latin America and the Caribbean,ENSANUT,2018,Zamora Chinchipe,0.008,0.009,2.34,39.75,10.95,0.34,"17,016","17,589","17,798",0.67,120,3,10,
ECU,Ecuador,Latin America and the Caribbean,ENSANUT,2018,Zona No Delimitada,0.008,0.003,0.8,38.77,6.5,0.13,"17,016","17,589","17,798",0.24,43,0,10,
EGY,Egypt,Arab States,DHS,2014,Alexandria,0.02,0.007,2.13,34.27,0.24,0.12,"95,592","107,465","109,262",4.39,"4,802",102,9,Cooking fuel
EGY,Egypt,Arab States,DHS,2014,Assuit,0.02,0.04,10.22,39.56,10.47,1.94,"95,592","107,465","109,262",5.5,"6,010",614,9,Cooking fuel
